"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"/Users/adibnzv/Desktop/DESKTOP/SCHOOL/PhD/Year 1/Semester 2/Python for Biologists/Final Project/PythonCourse_Final_Project/MS2_COLORS.py", "Python", 37, 0, 0, 0, 37
"/Users/adibnzv/Desktop/DESKTOP/SCHOOL/PhD/Year 1/Semester 2/Python for Biologists/Final Project/PythonCourse_Final_Project/Project_main.py", "Python", 159, 0, 91, 15, 265
"/Users/adibnzv/Desktop/DESKTOP/SCHOOL/PhD/Year 1/Semester 2/Python for Biologists/Final Project/PythonCourse_Final_Project/README.md", "Markdown", 0, 2, 0, 1, 3
"/Users/adibnzv/Desktop/DESKTOP/SCHOOL/PhD/Year 1/Semester 2/Python for Biologists/Final Project/PythonCourse_Final_Project/functions_unused.py", "Python", 78, 0, 49, 13, 140
"Total", "-", 274, 2, 140, 29, 445
